Universe,Universe_Group,Opportunity_Type,Opportunity_Eligible,Symbol,Raw_Symbol,Name,Category,ISIN,Include,Source
ETF,ETF,Equity ETF,Yes,GROWWCAPM.NS,GROWWCAPM,GROWWAMC - GROWWCAPM,IT ETF,INF666M01MM4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWCHEM.NS,GROWWCHEM,GROWWAMC - GROWWCHEM,Broad Market ETF,INF666M01NP5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWDEFNC.NS,GROWWDEFNC,GROWWAMC - GROWWDEFNC,Broad Market ETF,INF666M01IO8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWEV.NS,GROWWEV,GROWWAMC - GROWWEV,Auto ETF,INF666M01IH2,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GROWWGOLD.NS,GROWWGOLD,GROWWAMC - GROWWGOLD,Gold ETF,INF666M01OE7,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWHOSPI.NS,GROWWHOSPI,GROWWAMC - GROWWHOSPI,IT ETF,INF666M01OD9,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GROWWLIQID.NS,GROWWLIQID,GROWWAMC - GROWWLIQID,Parking/Debt ETF,INF666M01IP5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWLOVOL.NS,GROWWLOVOL,GROWWAMC - GROWWLOVOL,IT ETF,INF666M01LB9,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWMC150.NS,GROWWMC150,GROWWAMC - GROWWMC150,Broad Market ETF,INF666M01MV5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWMETAL.NS,GROWWMETAL,GROWWAMC - GROWWMETAL,Broad Market ETF,INF666M01NI0,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWMOM50.NS,GROWWMOM50,GROWWAMC - GROWWMOM50,Factor ETF,INF666M01KJ4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWN200.NS,GROWWN200,GROWWAMC - GROWWN200,Broad Market ETF,INF666M01JV1,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWNET.NS,GROWWNET,GROWWAMC - GROWWNET,ETF,INF666M01LI4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWNIFTY.NS,GROWWNIFTY,GROWWAMC - GROWWNIFTY,Broad Market ETF,INF666M01LL8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWNXT50.NS,GROWWNXT50,GROWWAMC - GROWWNXT50,ETF,INF666M01LZ8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWPOWER.NS,GROWWPOWER,GROWWAMC - GROWWPOWER,ETF,INF666M01LM6,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWPSE.NS,GROWWPSE,GROWWAMC - GROWWPSE,Broad Market ETF,INF666M01NQ3,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWPSUBK.NS,GROWWPSUBK,GROWWAMC - GROWWPSUBK,Bank/Financial ETF,INF666M01OG2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWRAIL.NS,GROWWRAIL,GROWWAMC - GROWWRAIL,PSU/CPSE ETF,INF666M01JJ6,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWRLTY.NS,GROWWRLTY,GROWWAMC - GROWWRLTY,ETF,INF666M01MN2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,GROWWSC250.NS,GROWWSC250,GROWWAMC - GROWWSC250,Broad Market ETF,INF666M01MO0,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GROWWSLVR.NS,GROWWSLVR,GROWWAMC - GROWWSLVR,Silver ETF,INF666M01OF4,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GSEC10ABSL.NS,GSEC10ABSL,BIRLASLAMC - GSEC10ABSL,Parking/Debt ETF,INF209KC1142,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GSEC10IETF.NS,GSEC10IETF,ICICIPRAMC-ICICI10GS,Parking/Debt ETF,INF109KC18O0,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GSEC10YEAR.NS,GSEC10YEAR,MIRAEAMC-MAGS813ETF,Parking/Debt ETF,INF769K01KF8,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GSEC5IETF.NS,GSEC5IETF,ICICIPRAMC-ICICI5GSEC,Parking/Debt ETF,INF109KC14A8,Yes,NSE ETF
ETF,ETF,International ETF,Yes,HDFCBSE500.NS,HDFCBSE500,HDFCAMC-HDFCBSE500,International ETF,INF179KC1EZ4,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,HDFCGOLD.NS,HDFCGOLD,HDFCGoldETF,Gold ETF,INF179KC1981,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,HDFCGROWTH.NS,HDFCGROWTH,HDFCAMC-HDFCGROWTH,Parking/Debt ETF,INF179KC1DJ0,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,HDFCLIQUID.NS,HDFCLIQUID,HDFCAMC-HDFCLIQUID,Parking/Debt ETF,INF179KC1JG3,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCLOWVOL.NS,HDFCLOWVOL,HDFCAMC-HDFCLOWVOL,IT ETF,INF179KC1HU8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCMID150.NS,HDFCMID150,HDFCAMC-HDFCMID150,Broad Market ETF,INF179KC1HT0,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCMOMENT.NS,HDFCMOMENT,HDFCAMC-HDFCMOMENT,Factor ETF,INF179KC1HV6,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCNEXT50.NS,HDFCNEXT50,HDFCAMC-HDFCNEXT50,Broad Market ETF,INF179KC1HS2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCNIF100.NS,HDFCNIF100,HDFCAMC-HDFCNIF100,Broad Market ETF,INF179KC1HR4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCNIFBAN.NS,HDFCNIFBAN,HDFCAMC-HDFCNIFBAN,Bank/Financial ETF,INF179KC1HY0,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCNIFIT.NS,HDFCNIFIT,HDFCAMC-HDFCNIFIT,IT ETF,INF179KC1IA8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCNIFTY.NS,HDFCNIFTY,HDFCAMC-HDFCNIFTY,Broad Market ETF,INF179KC1965,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCPSUBK.NS,HDFCPSUBK,HDFCAMCHDFCPSUBK,Bank/Financial ETF,INF179KC1HW4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCPVTBAN.NS,HDFCPVTBAN,HDFCAMC-HDFCPVTBAN,Bank/Financial ETF,INF179KC1HZ7,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,HDFCQUAL.NS,HDFCQUAL,HDFCAMC-HDFCQUAL,Parking/Debt ETF,INF179KC1DL6,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCSENSEX.NS,HDFCSENSEX,HDFCAMC-HDFCSENSEX,Broad Market ETF,INF179KC1HX2,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,HDFCSILVER.NS,HDFCSILVER,HDFCAMC-HDFCSILVER,Parking/Debt ETF,INF179KC1DI2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HDFCSML250.NS,HDFCSML250,HDFCAMC-HDFCSML250,Broad Market ETF,INF179KC1FB2,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,HDFCVALUE.NS,HDFCVALUE,HDFCAMC-HDFCVALUE,Parking/Debt ETF,INF179KC1DK8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HEALTHADD.NS,HEALTHADD,DSPAMC-HEALTHADD,Pharma/Healthcare ETF,INF740KA1ZG1,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HEALTHAXIS.NS,HEALTHAXIS,AXISAMC-HEALTHAXIS,Pharma/Healthcare ETF,INF846K01Z12,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HEALTHCARE.NS,HEALTHCARE,MIRAEAMC - HEALTHCARE,Pharma/Healthcare ETF,INF769K01QA6,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HEALTHIETF.NS,HEALTHIETF,ICICIPRAMC-ICICIPHARM,Pharma/Healthcare ETF,INF109KC1Q72,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,HEALTHY.NS,HEALTHY,BIRLASLAMC-HEALTHY,Pharma/Healthcare ETF,INF209KB10C2,Yes,NSE ETF
ETF,ETF,International ETF,Yes,HNGSNGBEES.NS,HNGSNGBEES,NIPINDETFHANGSENGBEES,International ETF,INF204KB19I1,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,HSBCGOLD.NS,HSBCGOLD,HSBCAMC - HSBCGOLD,Gold ETF,INF336L01RX2,Yes,NSE ETF
ETF,ETF,International ETF,Yes,ICICIB22.NS,ICICIB22,ICICIPRAMC-BHARATIWIN,International ETF,INF109KB15Y7,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,IDFNIFTYET.NS,IDFNIFTYET,BANDHANAMC-IDFNIFTYET,Broad Market ETF,INF194KA1U07,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,INFRA.NS,INFRA,MIRAEAMC - INFRA,Broad Market ETF,INF769K01QB4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,INFRABEES.NS,INFRABEES,NIPINDETFINFRABEES,Broad Market ETF,INF732E01268,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,INFRAIETF.NS,INFRAIETF,ICICIPRAMC-ICICIINFRA,Broad Market ETF,INF109KC16E5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,INTERNET.NS,INTERNET,MIRAEAMC - INTERNET,IT ETF,INF769K01PB6,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,IT.NS,IT,KOTAKMAMC-KOTAKIT,IT ETF,INF174KA1GC5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ITADD.NS,ITADD,DSPAMC - DSPIT,IT ETF,INF740KA1SX1,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ITAXIS.NS,ITAXIS,AXISAMC-ITAXIS,IT ETF,INF846K01Y96,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ITBEES.NS,ITBEES,NIPINDETFIT,IT ETF,INF204KB15V2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ITBETA.NS,ITBETA,UTIAMC -ITBETA,IT ETF,INF789F1AZD8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ITETF.NS,ITETF,MIRAEAMC-ITETF,IT ETF,INF769K01KV5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ITIETF.NS,ITIETF,ICICIPRAMC-ICICITECH,IT ETF,INF109KC16I6,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,IVZINGOLD.NS,IVZINGOLD,InvescoIndiaGoldETF,Gold ETF,INF205KA1BP1,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,IVZINNIFTY.NS,IVZINNIFTY,InvescoMF-NiftyETF,Parking/Debt ETF,INF205K01DA9,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,JUNIORBEES.NS,JUNIORBEES,NIP IND ETF JUNIOR BEES,Broad Market ETF,INF732E01045,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,LICMFGOLD.NS,LICMFGOLD,LICMF LICGoldETF,Gold ETF,INF397L01554,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,LICNETFGSC.NS,LICNETFGSC,LICNAMC-LICNMFET,Parking/Debt ETF,INF767K01MV5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,LICNETFN50.NS,LICNETFN50,LICNAMC-LICNFENGP,Broad Market ETF,INF767K01OS7,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,LICNETFSEN.NS,LICNETFSEN,LICNAMC-LICNFESGP,Broad Market ETF,INF767K01OT5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,LICNFNHGP.NS,LICNFNHGP,LICNAMC-LICNFNHGP,Broad Market ETF,INF767K01PC8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,LICNMID100.NS,LICNMID100,LICNAMC-LICNMID100,Broad Market ETF,INF767K01RN1,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,LIQGRWBEES.NS,LIQGRWBEES,NIPPONAMC - LIQGRWBEES,Parking/Debt ETF,INF204KC1FU1,Yes,NSE ETF
