Symbol,Raw_Symbol,Name,Category,ISIN,ETF_Name,ETF_Category,ETF_ISIN,Suggested_AMFI_Scheme_Code,Suggested_AMFI_Scheme_Name,Suggested_NAV,Suggested_NAV_Date,Match_Score,Match_Type,Mapping_Status,Manual_AMFI_Scheme_Code,Manual_AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,Quality_Override_Notes
ITBETA.NS,ITBETA,UTIAMC -ITBETA,IT ETF,INF789F1AZD8,UTIAMC -ITBETA,IT ETF,INF789F1AZD8,152355,UTI Nifty IT ETF,288.0886,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ITETF.NS,ITETF,MIRAEAMC-ITETF,IT ETF,INF769K01KV5,MIRAEAMC-ITETF,IT ETF,INF769K01KV5,152155,Mirae Asset Nifty IT ETF,29.0188,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ITIETF.NS,ITIETF,ICICIPRAMC-ICICITECH,IT ETF,INF109KC16I6,ICICIPRAMC-ICICITECH,IT ETF,INF109KC16I6,148466,ICICI Prudential Nifty IT ETF,30.4374,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
IVZINGOLD.NS,IVZINGOLD,InvescoIndiaGoldETF,Gold ETF,INF205KA1BP1,InvescoIndiaGoldETF,Gold ETF,INF205KA1BP1,112368,Invesco India Gold Exchange Traded Fund,126.2958,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
IVZINNIFTY.NS,IVZINNIFTY,InvescoMF-NiftyETF,Parking/Debt ETF,INF205K01DA9,InvescoMF-NiftyETF,Parking/Debt ETF,INF205K01DA9,115284,Invesco India Nifty 50 Exchange Traded Fund,2778.875,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
JUNIORBEES.NS,JUNIORBEES,NIP IND ETF JUNIOR BEES,Broad Market ETF,INF732E01045,NIP IND ETF JUNIOR BEES,Broad Market ETF,INF732E01045,140085,Nippon India ETF Nifty Next 50 Junior BeES,779.6515,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
LICMFGOLD.NS,LICMFGOLD,LICMF LICGoldETF,Gold ETF,INF397L01554,LICMF LICGoldETF,Gold ETF,INF397L01554,151961,LIC MF Gold Exchange Traded Fund,130.8851,03-Jul-2026,0.7407407407407407,Fuzzy,Review,,,,,,,,,,
LICNETFGSC.NS,LICNETFGSC,LICNAMC-LICNMFET,Parking/Debt ETF,INF767K01MV5,LICNAMC-LICNMFET,Parking/Debt ETF,INF767K01MV5,133307,LIC MF Nifty 8-13 yr G-Sec ETF,29.4453,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
LICNETFN50.NS,LICNETFN50,LICNAMC-LICNFENGP,Broad Market ETF,INF767K01OS7,LICNAMC-LICNFENGP,Broad Market ETF,INF767K01OS7,135607,LIC MF Nifty 50 ETF,271.8263,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
LICNETFSEN.NS,LICNETFSEN,LICNAMC-LICNFESGP,Broad Market ETF,INF767K01OT5,LICNAMC-LICNFESGP,Broad Market ETF,INF767K01OT5,135672,LIC MF BSE Sensex ETF,877.0716,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
