Date,Symbol,Delivery_Pct
2026-07-03,ETHOSLTD,81.24
2026-07-03,EUREKAFORB,67.5
2026-07-03,EUROBOND,56.12
2026-07-03,EUROPRATIK,27.05
2026-07-03,EVEREADY,28.43
2026-07-03,EVIETF,58.8
2026-07-03,EVINDIA,71.92
2026-07-03,EXCELINDUS,52.3
2026-07-03,EXCELSOFT,29.61
2026-07-03,EXICOM,25.08
2026-07-03,EXIDEIND,33.46
2026-07-03,EXPLEOSOL,52.2
2026-07-03,EXXARO,57.85
2026-07-03,FABTECH,16.83
2026-07-03,FACT,23.23
2026-07-03,FAIRCHEMOR,48.21
2026-07-03,FAZE3Q,54.1
2026-07-03,FCL,35.88
2026-07-03,FDC,59.63
2026-07-03,FEDDERSHOL,23.43
2026-07-03,FEDERALBNK,51.56
2026-07-03,FEDFINA,41.01
2026-07-03,FERMENTA,46.86
2026-07-03,FIBERWEB,77.58
2026-07-03,FIEMIND,47.83
2026-07-03,FILATEX,46.0
2026-07-03,FINCABLES,47.33
2026-07-03,FINEORG,54.72
2026-07-03,FINIETF,66.77
2026-07-03,FINKURVE,87.5
2026-07-03,FINOPB,58.47
2026-07-03,FINPIPE,50.64
2026-07-03,FIRSTCRY,54.11
2026-07-03,FISCHER,14.38
2026-07-03,FIVESTAR,36.23
2026-07-03,FLAIR,50.78
2026-07-03,FLEXIADD,84.94
2026-07-03,FLUOROCHEM,50.25
2026-07-03,FMCGADD,54.25
2026-07-03,FMCGIETF,50.71
2026-07-03,FMGOETZE,61.58
2026-07-03,FOODSIN,54.69
2026-07-03,FORCEMOT,29.64
2026-07-03,FORTIS,59.55
2026-07-03,FOSECOIND,56.45
2026-07-03,FRACTAL,51.71
2026-07-03,FRONTSP,53.78
2026-07-03,FSL,23.84
2026-07-03,FUSION,52.22
2026-07-03,GABRIEL,45.27
2026-07-03,GAEL,48.56
2026-07-03,GAIL,58.42
2026-07-03,GALAPREC,37.8
2026-07-03,GALAXYSURF,48.82
2026-07-03,GALLANTT,30.56
2026-07-03,GANDHAR,53.62
2026-07-03,GANDHITUBE,70.94
2026-07-03,GANECOS,14.84
2026-07-03,GANESHBE,47.49
2026-07-03,GANESHCP,53.68
2026-07-03,GANESHHOU,51.09
2026-07-03,GANGAFORGE,51.64
2026-07-03,GANGESSECU,91.13
2026-07-03,GARFIBRES,55.66
2026-07-03,GARUDA,46.32
2026-07-03,GATECH,48.88
2026-07-03,GATECHDVR,92.77
2026-07-03,GATEWAY,46.44
2026-07-03,GAYAHWS,59.01
2026-07-03,GCSL,43.95
2026-07-03,GEEKAYWIRE,68.49
2026-07-03,GEMAROMA,51.56
2026-07-03,GENCON,3.91
2026-07-03,GENESYS,40.76
2026-07-03,GENUSPAPER,70.7
2026-07-03,GENUSPOWER,42.83
2026-07-03,GEOJITFSL,44.77
2026-07-03,GESHIP,47.05
2026-07-03,GFLLIMITED,60.65
2026-07-03,GHCL,49.93
2026-07-03,GHCLTEXTIL,54.31
2026-07-03,GICHSGFIN,48.44
2026-07-03,GICL,70.48
2026-07-03,GICRE,46.67
2026-07-03,GILLANDERS,87.19
2026-07-03,GILLETTE,58.6
2026-07-03,GILT10BETA,81.59
2026-07-03,GILT5BETA,100.0
2026-07-03,GILT5YBEES,70.2
2026-07-03,GINNIFILA,60.28
2026-07-03,GIPCL,33.32
2026-07-03,GKENERGY,49.77
2026-07-03,GKSL,43.3
2026-07-03,GKWLIMITED,69.87
2026-07-03,GLAND,39.37
2026-07-03,GLAXO,52.04
2026-07-03,GLENMARK,40.67
2026-07-03,GLOBAL,59.89
2026-07-03,GLOBALVECT,64.0
2026-07-03,GLOBE,87.52
2026-07-03,GLOBUSSPR,40.96
2026-07-03,GLOSTERLTD,66.46
2026-07-03,GMBREW,57.98
2026-07-03,GMDCLTD,34.63
2026-07-03,GMMPFAUDLR,63.04
2026-07-03,GMRAIRPORT,63.97
2026-07-03,GMRP&UI,58.75
2026-07-03,GNA,45.57
2026-07-03,GNFC,44.96
2026-07-03,GNRL,34.25
2026-07-03,GOACARBON,71.41
2026-07-03,GOCLCORP,58.23
2026-07-03,GOCOLORS,24.03
2026-07-03,GODAVARIB,64.13
2026-07-03,GODFRYPHLP,37.77
2026-07-03,GODIGIT,54.46
2026-07-03,GODREJAGRO,51.21
2026-07-03,GODREJCP,31.09
2026-07-03,GODREJIND,52.31
2026-07-03,GODREJPROP,52.37
2026-07-03,GOKEX,43.71
2026-07-03,GOKUL,21.73
2026-07-03,GOKULAGRO,49.88
2026-07-03,GOLD1,60.94
2026-07-03,GOLD360,74.3
2026-07-03,GOLDADD,70.55
2026-07-03,GOLDAXIS,90.38
2026-07-03,GOLDBEES,63.83
2026-07-03,GOLDBETA,58.14
